Country/Region,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,TotalTests
Italy,Europe,60452568.0,249204,35187.0,201323.0,12694.0,7099713.0
Latvia,Europe,1883936.0,1275,32.0,1070.0,173.0,207909.0
Liechtenstein,Europe,38139.0,89,1.0,85.0,3.0,900.0
Lithuania,Europe,2718121.0,2171,81.0,1656.0,434.0,540784.0
Luxembourg,Europe,626952.0,7073,119.0,5750.0,1204.0,623994.0
Malta,Europe,441663.0,946,9.0,670.0,267.0,136713.0
Moldova,Europe,4032983.0,26628,828.0,18676.0,7124.0,128076.0
Monaco,Europe,39270.0,125,4.0,105.0,16.0,38209.0
Montenegro,Europe,628074.0,3480,60.0,2178.0,1242.0,38427.0
Netherlands,Europe,17138756.0,56982,6153.0,2178.0,899.0,1079860.0
North Macedonia,Europe,2083365.0,11399,517.0,7480.0,3402.0,109946.0
Norway,Europe,5425471.0,9468,256.0,8857.0,355.0,472841.0
Poland,Europe,37842302.0,49515,1774.0,35642.0,12099.0,2374686.0
Portugal,Europe,10193593.0,52061,1743.0,37840.0,12478.0,1705474.0
Romania,Europe,19224023.0,57895,2566.0,28992.0,26337.0,1319369.0
Russia,Europe,145940924.0,871894,14606.0,676357.0,180931.0,29716907.0
San Marino,Europe,33938.0,699,42.0,657.0,0.0,6068.0
Serbia,Europe,8733665.0,27332,621.0,14047.0,12664.0,723137.0
Slovakia,Europe,5459915.0,2480,29.0,1824.0,627.0,272322.0
Slovenia,Europe,2078968.0,2223,125.0,1909.0,189.0,135702.0
Spain,Europe,46756648.0,354530,28500.0,2178.0,899.0,7064329.0
Sweden,Europe,10105596.0,81967,5766.0,2178.0,899.0,863315.0
Switzerland,Europe,8660952.0,36108,1985.0,31600.0,2523.0,822764.0
UK,Europe,67922029.0,308134,46413.0,2178.0,899.0,17515234.0
Ukraine,Europe,43705858.0,76808,1819.0,42524.0,32465.0,1116641.0
Vatican City,Europe,801.0,12,3792.590425531915,12.0,0.0,135702.0
Antigua and Barbuda,North America,98010.0,92,3.0,76.0,13.0,1500.0
Aruba,North America,106812.0,263,3.0,114.0,146.0,14047.0
Bahamas,North America,393616.0,761,14.0,91.0,656.0,4814.0
Barbados,North America,287411.0,133,7.0,100.0,26.0,12233.0
Belize,North America,398312.0,86,2.0,31.0,53.0,3679.0
